Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
3,1,1,1,1,81,53,27,2872,34.42578125,83.953125,2990.378906,4.401599884,0.052760627,0.12866576,4.583026409,0.388409674,0,13.9843626,14.37277222
3,1,1,1,2,47,45,1,2882,38.30078125,83.95703125,3004.257813,4.416925907,0.058699414,0.12867175,4.604297161,0.195140347,0,13.17336845,13.36850834
3,1,1,1,3,50,47,2,2870,40.9609375,83.984375,2994.945313,4.398534775,0.062776342,0.128713652,4.590024948,0,0,13.82821655,13.82821655
3,1,1,1,4,52,49,3,2864,40.97265625,83.9921875,2988.964844,4.389339447,0.062794305,0.128725633,4.580859184,0.194691986,0,12.52493572,12.71962738
3,1,1,1,5,53,49,4,2754,41.43359375,82.44921875,2877.882813,4.220754147,0.063500732,0.126360893,4.410615921,0,0,13.80194473,13.80194473
3,1,1,1,6,51,47,4,2750,41.33984375,82.44921875,2873.789063,4.214623928,0.063357055,0.126360893,4.404341698,0,0,16.27845383,16.27845383
3,1,1,1,7,62,56,6,2749,41.4453125,82.45703125,2872.902344,4.213091373,0.063518696,0.126372859,4.402982712,0,0,13.91398048,13.91398048
3,1,1,1,8,68,61,6,2749,41.4609375,82.45703125,2872.917969,4.213091373,0.063542642,0.126372859,4.40300703,0,0,15.5196476,15.5196476
3,1,1,1,9,59,52,7,2717,41.47265625,82.5,2840.972656,4.164048672,0.063560598,0.126438722,4.354047775,0,0,15.61805344,15.61805344
3,1,1,1,10,73,65,8,2717,41.484375,82.48046875,2840.964844,4.164048672,0.063578561,0.126408786,4.354035854,0,0,14.22944069,14.22944069
3,1,1,1,11,74,65,9,2717,41.578125,82.48046875,2841.058594,4.164048672,0.063722238,0.126408786,4.354179859,0,0,15.80191708,15.80191708
3,1,1,1,12,76,64,11,2717,41.58984375,82.4765625,2841.066406,4.164048672,0.063740201,0.126402795,4.35419178,0,0,14.24235249,14.24235249
3,1,1,1,13,76,65,10,2717,42.0234375,82.48046875,2841.503906,4.164048672,0.064404726,0.126408786,4.354862213,0,0,14.13485527,14.13485527
3,1,1,1,14,75,64,11,2717,42.0859375,82.48046875,2841.566406,4.164048672,0.064500511,0.126408786,4.354958057,0,0,15.57498455,15.57498455
3,1,1,1,15,78,65,12,2717,42.15625,82.48046875,2841.636719,4.164048672,0.064608268,0.126408786,4.355065823,0,0,14.18020153,14.18020153
3,1,1,1,16,81,68,13,2717,42.16796875,82.49609375,2841.664063,4.164048672,0.064626232,0.126432732,4.355107784,0.189878747,0,14.44324875,14.63312721
3,1,1,1,17,77,63,13,2717,42.16796875,82.48046875,2841.648438,4.164048672,0.064626232,0.126408786,4.355083466,0,0,13.56119633,13.56119633
3,1,1,1,18,81,67,14,2717,41.7421875,82.49609375,2841.238281,4.164048672,0.06397368,0.126432732,4.354454994,0,0,16.70659447,16.70659447
3,1,1,1,19,82,67,15,2718,41.7421875,82.01171875,2841.753906,4.165581226,0.06397368,0.125690386,4.355245113,0,0,17.36209488,17.36209488
